职位标题,职位链接,公司名称,工作地点,薪资待遇,职位描述,职位类型,发布时间,职位特征,所需技能,申请类型,勤務時間・休日,仕事内容,給与・報酬,雇用形態,勤務地・交通
名古屋・法人営業／IT×人材!業界未経験OK!ワークライフバランス推進...,https://xn--pckua2a7gp15o89zb.com/jb/87b19d030bb398616a4f542fb8661525,富士インフォックス・ネット株式会社,愛知県 名古屋市 中区,年収350万円,【仕事内容】大手SIer・メーカーなどに対し、「人材IT」の切り口で最適な提案を行う提案型営業ポジションです。...,正社員,1日前,"未経験OK, 在宅ワーク, 社保完備, 特別休暇, ジョブローテーション, 週休2日, 禁煙・分煙",未指定,かんたん応募,"9:00～18:00
所定労働時間：8時間、休憩1時間
※勤務間インターバル制度、フレキシブル出勤制度あり
固定（一般的な勤務時間）
■完全週休2日制（土日）
■祝日
■リフレッシュ休暇（年2日）
■年末年始休暇
■慶弔休暇
■産前・産後休暇
■特別休暇
■育児休暇（男性の取得実績あり）

■有給休暇（入社半年後に10日。勤続年数に応じて最大20日）
※有給休暇平均取得率：80.2％（平均取得日数：13.8日）",暂无信息,"年収
3,500,000円
5,000,000円
■各種社会保険完備
■慶弔見舞金
■結婚・出産祝金
■ジョブローテーション
■資格取得報奨金
■各種研修
■定期健康診断
■健康保険組合提携施設利用等
■社員紹介制度／紹介料30万円

■在宅勤務（テレワーク）制度
・週1回
・テレワーク率：55.7％",正社員,愛知県名古屋市中区錦1-4-16 KDX名古屋日銀前ビル 3階
ITインフラエンジニア 千葉勤務 CCS6,https://xn--pckua2a7gp15o89zb.com/rd/?uaid=lceb31bf3b6036b709e7831d26476cb67&p=t%2BAK7k0GmMUr0ZRss/MBm96ahtzFjRlnm%2BMPPDIjAub%2BWUn4soxk6FWKNVROFmWr2I5FyVSww/fpdvyH3gIO9g%2Bf6DkuB%2BuBT466X1tsR7M255VnGmS%2BSBRRMcL3CTyLoftjdNyTVdLGR2pfgAM6JOid2Elqbm9BLJLjl1VcJRehnQ/nuBqf0bMLdhkcr1y2nPY2kuJvIo74T/VFS1hSidXOJ1Ii58pFMSFP/l4qkbLngHjk5yrfb2hP%2Bb11t%2BVLbKs%2B5zEVeAxKFLL/nHZOX9VV0OKMujnmK%2B6/RE4q5WgjMl/il76eVXeTIfZ%2B2M0QEEGFHkE%2BUwFxK2aUry9HbKAApT9ANndm49wUWCeOZ7GiGZlRyXfouKLun9foc5GhPYNiVSaY0DiaBFf3gx1A9ujhtNK53PSnKksPoDQ/rcfvgY1DKTErg8kQploah51W16MEgkVzNoWNU/tJi/UYNmkrAnUW1rkRT7mU3kpzOM4gAy1Eh8QJuDv45v/xoqgv&ph=2099e9c3057e&phv=1,株式会社千葉銀行,千葉県,"年収800万円～1,100万円",【仕事内容】<職種>IT技術職>インフラエンジニア<業種>金融>銀行・信託銀行...当社におけるITインフラやセキュリティ分野においての一般的な業務を経験したうえで...,未指定,10時間前,"女性活躍, 資格取得支援, 禁煙・分煙, Hyper-V, Linux, 研修あり, Windows","Windows, 資格, Linux",通常申请,暂无信息,暂无信息,暂无信息,暂无信息,暂无信息
IT提案営業／年収500万円から／年間休日120日以上／変革期の成長ス...,https://xn--pckua2a7gp15o89zb.com/jb/19b6d8e62b7da0e35c13d4497163ce35,株式会社SI&C,東京都 港区 浜松町駅,"年収500万円～1,400万円",【対象となる方】<必須要件>IT関連SolutionスキルIT業界におけるTIER1のSIer経験がある方...,正社員,11日前,"土日祝休, 在宅ワーク, 女性活躍, 経験者歓迎, 交通費, 社保完備, 産休・育休",未指定,かんたん応募,"【勤務時間】
9：30～18：00（所定労働時間7.5時間、休憩60分）

【休日休暇】
年間休日：122日

完全週休2日制（土・日）、祝日、年末年始休暇（6日）、年次有給休暇（初年度10日・最大20日）、リフレッシュ休暇（5日）、慶弔特別休暇、産前産後休業、育児休業、子の看護休暇、介護休業　等
※各休暇は入社月から取得可能
※有給休暇、リフレッシュ休暇：初年度は入社月により付与日数に変更あり
※有給休暇の平均取得日数：13.9日/年",暂无信息,"年収500万円～1,400万円
月給：375,000円～1,050,000円
基本給：309,100円～
固定残業代(25時間/月)：65,900円～
※超過分は別途全額支給
※管理職は裁量労働制

・昇給/昇格：年2回（5月、11月）
・賞与：年2回（6月、12月）

【主な諸手当】
通勤手当（非課税限度内で実費支給、バスを利用する場合は距離制限あり）、家族手当（配偶者・お子様）、時間外勤務手当、在宅勤務手当　等

【各種保険等】
健康保険、介護保険、厚生年金保険、労災保険、雇用保険、企業年金基金

【福利厚生】
確定拠出年金(401K)、資格取得奨励金、慶弔見舞金、団体保険、財形貯蓄、勤労者共済会、定期健康診断、メンタルヘルスケア、健保保養所（東京都情報サービス産業健康保険組合）、同好会（ゴルフ・フットサルなど）、オンボード面談、HR面談、ラフ・ミート面談(部署を越えた1on1交流制度)、社員交流会(任意)　等

【その他】
・資格取得奨励金：PMP30万円、応用情報技術者10万円　等
・教育制度：リーダ研修、専門技術研修、IT関連資格取得支援（研修・奨励金）等
・承認制で副業可能",正社員,"東京都本社：東京都港区浜松町2-4-1 世界貿易センタービルディング南館 24F

本社：JR山手線　浜松町駅"
ITガバナンスグローバル,https://xn--pckua2a7gp15o89zb.com/rd/?uaid=lc9c4158d9901760e9cbebf25f011f1fd&p=t%2BAK7k0GmMUr0ZRss/MBmzL8bLkgUzJc3RgMamMGJhqpR4dZq3u2wKbolXfBqHx2PdB7TQTwYq%2B9%2BZbFVEPFDQ%2Bf6DkuB%2BuBT466X1tsR7NX4TAfEzNYjpkvC8syfJu%2BoftjdNyTVdLGR2pfgAM6JOid2Elqbm9BLJLjl1VcJRehnQ/nuBqf0bMLdhkcr1y2nPY2kuJvIo74T/VFS1hSidXOJ1Ii58pFMSFP/l4qkbLTdtSrNV41e8rMMPlJp7rKQDNM0i1cJMsqKQz%2BjKRkko1F4c3oX8A%2BXc8k3P3WO5EjMl/il76eVXeTIfZ%2B2M0QEEGFHkE%2BUwFxK2aUry9HbE0g6yVmuolOWd0D7iCsZbOKTjjw6yH4nzPR%2BCaT2%2BEyXNMZgNQ8sJxU7OPCR%2BKSPnAhUYsQliQE/jBoJzwOXkQOj9RBPp/8wI8i0FAnhr6Ngyd3w2OepkRAqqGY8TgpUmkrAnUW1rkRT7mU3kpzOM4gAy1Eh8QJuDv45v/xoqgv&ph=e64340aea737&phv=1,株式会社LegalOn Technologies,東京都,"年収800万円～1,500万円",<仕事内容>・業務範囲は、日本本社・米国子会社のとなります。・ITガバナンスおよびセキュリティガバナンス...,未指定,10時間前,"在宅ワーク, 英語活用, 女性活躍, 禁煙・分煙, AI, 年休120日～, 週休2日","AI, 英語",通常申请,暂无信息,暂无信息,暂无信息,暂无信息,暂无信息
IT人材営業／ITエンジニアをコーディネートするお仕事／土日祝休み,https://xn--pckua2a7gp15o89zb.com/jb/08a1bdf2c49100023bf560a4cafeccde,株式会社ユースリー,東京都 新宿区 新宿駅 徒歩4分,年収300万円,【仕事内容/この仕事のミッション】<仕事内容>IT技術を求めているお客様企業と、活躍の場所を求めているITエンジニアをコーディネートする...,正社員,1日前,"未経験OK, 女性活躍, 産休・育休, 特別休暇, 土日祝休, 研修あり, 増員募集",未指定,かんたん応募,"10:00:00
19:00:00
【勤務時間】
10:00～19:00（実働8時間）
※社内では「効率よく業務を進めていこう」という意識が根づいており、月平均の残業時間は20時間以内と少なめです。
土日祝休み
124
有給休暇, 年末年始休暇, 夏季休暇, 慶弔休暇, 産休・育休, 特別休暇, GW休暇, 介護休暇
■完全週休2日制（土・日）
■祝日
■産前・産後休暇　※実績あり
■育児休暇　※実績あり・復帰率100％
■結婚休暇（5日間）
■特別休暇（誕生日・行事・記念日等）
※有給休暇とは別に好きな日にお休みを取ることができます
※有給消化率100%
※5日以上の連続休暇OK
★有休が取得しやすい環境です！
業務の状況次第ではありますが、しっかりと有給休暇を取得していただけます。
「取得しづらい･･･」といった雰囲気はありませんのでご安心ください！",暂无信息,"300
720
■年収例
・300万円／23歳（入社1年）
・450万円／26歳（入社3年）
・700万円／28歳（入社5年）
■月給：25万円～+各種手当
■年収：300万円～720万円（インセンティブ別途）
※経験・年齢・能力などを考慮のうえ、当社規定により決定します。
※上記にはみなし残業手当（30時間分：4万7000円～）を含む。超過分は別途支給いたします。

■昇給：年1回（7月）

■試用期間：6か月（その間の待遇に差異はありません。）
■月給：25万円～+各種手当
■年収：300万円～720万円（インセンティブ別途）
※経験・年齢・能力などを考慮のうえ、当社規定により決定します。
※上記にはみなし残業手当（30時間分：4万7000円～）を含む。超過分は別途支給いたします。

■昇給：年1回（7月）

■試用期間：6か月（その間の待遇に差異はありません。）
あり
交通費支給,健康診断,役職手当,社会保険完備,資格取得制度,資格手当,退職金制度
■社会保険完備（雇用・労災・健康・厚生年金）
■健康保険組合加入
※飲食店・スポーツジム・旅行費の割引等が充実！
■通勤交通費全額支給
■通勤手当（超過分を支給）
■時間外手当
■残業手当（固定残業代の超過分）
■職能手当
■報奨金制度
■人事評価制度
■資格取得支援制度
■研修制度（外部・内部）
■社員旅行（沖縄・北海道・台湾・静岡・大阪など）
■社内イベント（女子会・BBQ・お花見など）　※参加自由／イベントの実施は情勢を考慮します。
■新年会（2024年は屋形船で開催しました！）
■施設利用（ホテルなどの施設を特別価格で利用できます）
■リゾートトラスト施設利用（特別価格で利用できます）
■チケットレストラン（食事補助）
■確定拠出年金制度",正社員,"東京新宿区
東京文京区
【新宿オフィス：住所】
東京都新宿区西新宿1-4-11 全研プラザビル 　SPACES新宿

【アクセス】
JR、小田急、京王、都営地下鉄、東京メトロ「新宿駅」西口　徒歩4分
都営地下鉄大江戸線「新宿西口駅」　徒歩2分

============
【本社：住所】
東京都文京区根津2丁目19-7　2F

【アクセス】
「根津駅」より徒歩1分"
IT事務／横浜勤務／ワークライフバランス抜群／研修充実／残業ほぼなし,https://xn--pckua2a7gp15o89zb.com/jb/0ba5ba114ea37f22bf1869ea4ee30535,未找到公司名称,神奈川県 横浜市 西区,"月給25万3,400円～47万3,750円",【仕事内容】オフィスワークしながらITスキルも伸ばせる!/ 「ITスキルを身につけたい」その気持ちだけで大歓迎!...,正社員,14日以上前,"未経験OK, 英語活用, RPA, VBA, 土日祝休, 研修あり, 経験者歓迎",英語,かんたん応募,"■勤務時間詳細
9:00～18:00

■休日詳細
＼年間休日120日以上／
土曜日・日曜日・祝日
GW休日
夏季休暇
年末年始休日
有給休暇
長期・連続休暇（5日以上の連続休暇も取得可能）
産前・産後休暇 ★男性、女性ともに取得実績あり！
育児休暇 ★男性、女性ともに取得実績あり！

＼自分の時間を大切にできます！／
プライベートを満喫する社員が多数
先輩たちの仕事終わりの過ごし方は…

☆英語や中国語、韓国語を勉強
☆アニメやゲーム、映画、韓流ドラマを堪能
☆野球やサッカーなどスポーツでリフレッシュ
☆アパレルブランドで買い物
◇犬や猫などペットと過ごす など",暂无信息,"月給25万3,400円～47万3,750円
■給与詳細
月給25万3400円以上～47万3750円以上＋各種手当
 ※未経験からでも30万円以上の給与提示実績あり

※上記給与額はみなし残業手当（月10時間分・1万8400円以上）を含みます。
※超過分の残業手当は別途支給いたします。
※経験・能力を考慮し決定いたします。

■福利厚生詳細
昇給／給与改定 年2回（6月・12月）
各種社会保険完備
交通費（月3万円まで）
時間外手当（超過分支給）
企業型確定拠出年金（401K）
定期フォローアップ面談
定期健康診断
インフルエンザ予防接種
各種社員交流イベント
副業OK
オフィス内禁煙・分煙
有料Eラーニングを無料利用可能
資格取得支援制度（ITパスポート、MOS資格など）
└300以上の取得推奨資格を定めており、受験費用を全額負担！",正社員,"神奈川県横浜市西区
"
12.ITインフラ・クラウドサービスエンジニア,https://xn--pckua2a7gp15o89zb.com/jb/2ec4283e00c005db43961f3919e78558,ヤマハモーターソリューション株式会社,静岡県 磐田市 御厨駅,年収460万円～700万円,【求人名】12.ITインフラ・クラウドサービスエンジニア 【採用企業名】ヤマハモーターソリューション株式会社,正社員,1日前,"在宅ワーク, 英語活用, WワークOK, 交通費, 産休・育休, 家族手当, 短時間OK",英語,かんたん応募,"フレックスタイム制度（フレキシブルタイム6:30～22:00、コアタイム無）
標準就業時間帯：8:45～17:30（8時間）
※試用期間は適用対象外
※休憩時間：45分
副業OK,時短勤務,リモート可,フレックス制
残業20時間以下
土日休み
年間休日121日
週休2日制（弊社カレンダーによる）
長期休暇（年3回/9日間前後：年末年始・GW・夏季）
年間有給休暇10日～20日（下限日数は、入社半年経過後の付与日数となります）
※有給休暇の3連続・5連続取得制度、半日単位の取得制度有り",暂无信息,"460万円~700万円
月給制
月給：280,000円～360,000円
昇給有無：有／年1回（4月）
残業手当：有
※経験、能力を考慮の上、規定により決定します。
社宅/家賃補助制度あり,産休/育休実績あり
社会保険完備：雇用保険、労災保険、健康保険、厚生年金保険
退職金制度：勤続1年以上
財形貯蓄制度
育児・介護休職制度
事業所内託児施設（わいわいランド）
資格取得支援制度
クラブ活動
ヤマハ健康保険関連施設
社員食堂：有
人間ドック・家族健診・婦人科がん検診
ヤマハ発動機従業員持株会制度
ジュビロ磐田年間シート
ヤマハ発動機グループ従業員販売制度
共済会制度（結婚・出産祝金、慶弔金など）
団体保険（生命保険・自動車保険）
ヤマハ発動機総合保障保険
通勤手当：全額支給
家族手当：扶養対象者により18,000円または3,000円
時間外勤務手当
住宅手当（支給条件有り）
資格取得報奨金（支給条件有り）
あり
年2回（6月、12月）","正社員（無期契約）
あり
3ヶ月
試用期間はフレックスタイム制度が適用対象外","静岡県
勤務地詳細1：磐田事業所（ヤマハ発動機本社内）
住所：静岡県磐田市新貝2500
勤務地最寄駅：東海道線／御厨駅
受動喫煙対策：敷地内全面禁煙

勤務地詳細2：本社
住所：静岡県磐田市岩井2000-1
勤務地最寄駅：東海道線／磐田駅
受動喫煙対策：屋内全面禁煙

勤務地詳細3：磐田事業所（天平のまち内）
住所：静岡県磐田市中泉1-6-16
勤務地最寄駅：東海道線／磐田駅
受動喫煙対策：建屋内全面禁煙

＜在宅勤務・リモートワーク＞
在宅勤務可、但し全て在宅勤務は不可（部門毎に出社ルールを設定）
なし"
東証プライム上場企業「CAD・PLM製品向けITインフラエンジニア」年間休日127日,https://xn--pckua2a7gp15o89zb.com/rd/?uaid=l0e80ff52fa4637b165005524f464ce16&p=t%2BAK7k0GmMUr0ZRss/MBm/aPtyNmUwPDlxq5na6h5BW/hOKvofor0d9J57FglKvqYwiFeMkWndmT0W2HAn3Y8J/O81UF3iUb99fkxRIgTTz5n5JcUE/Wz5Xr0/xvzK3QIjMI24e5ckRXzZ5Q%2Btn4AqFBQPIzGtX2OvBe1qhXvz7RBbumC3ePvORGEvwGOCxZ6EPZFhNUVkI2Id/w7DaFByn250JlhHD10%2BRqCOJWqezScfFELqMOANKvqyRCHUK9jtFAhUcbL7ck/HFBAX3SyovxCrKySwxa/ns5UcmMJhl6Ql8YRTcSmX/prEeaBmrxakvyLLPWv0izE2/OGTMVt/mi5L2Aob3urH2XOfbZKRGmQAcN9PfJitzvwYAfw5mH3p0JPqvD68zaOlKstAVTSnxvV53iHMuy9GCRaBIRP0Dmq35k6XBDXJesuqsHXxleWmT6nP3kUPM50dl5iF3JQCkQ8fq6ekiM6khj0ujxQPZp8ldzwhQczeKXYrSjTw71r50jzGLSA4OTPy/lme37GA%3D%3D&ph=816bdd5c54d6&phv=1,株式会社図研,神奈川県 横浜市 センター南駅 徒歩15分,年収480万円,【仕事内容】自社CAD、PLM製品のオンプレミスやパブリッククラウド環境に対するITインフラ(ハードウェア...ITインフラ運用管理、またはサーバー関連製品サポート経験3年以上のいずれかに合致する方,正社員,1日前,"在宅ワーク, 英語活用, Azure, 家族手当, Windows, CAD, 特別休暇","Windows, Azure, 英語",かんたん応募,"平日9：00～17：45（休憩60分）
平均20時間/月
年間休日127日完全週休2日制（土・日）、祝日、夏季、年末年始、有給、特別休暇",暂无信息,"年収
480万円
650万円
基本給：23.0万円～29.5万円諸他手当：3.0万円～5.5万円残業手当：4.3万円～5.8万円月給給与：30.3万円~40.8万円【各種手当】通勤手当：全額支給（普通運賃に限る）家族手当：子供扶養1.1万円、他1人当り4千円※支給条件あり住宅手当：2万円通勤手当：あり賞与年2回（5カ月）昇給年1回（4月）
【定年】60歳定年後65歳までの再雇用制度あり【教育研修】階層別研修：昇格時に行われます。目的別研修：中堅社員には、ヒューマンスキルとともに、提案力強化や問題解決能力などのコンセプチュアル・スキル向上のための研修など、目的別の研修を行います。【自己啓発プログラム】・コンピュータスキルソフトウェア開発の基本的、専門的知識・技術向上をバックアップするために、情報処理技術者試験センター主催の試験合格者に対し報奨金を支給しています。・語学スキルヨーロッパ現地法人エンジニアとのソフトウェア仕様検討や海外ユーザーとの折衝など、語学スキルが求められる場面が多々あります。社員の英語能力向上をバックアップするために、TOEICスコアに応じた報奨金を支給しています。【その他福利厚生】財形貯蓄制度、従業員持株会制度、確定拠出年金制度、退職金制度、検診制度、レクリエーション補助制度、会員制リゾートホテル利用制度(リゾートトラスト)、契約保養所、慶弔・災害見舞金制度、報奨金制度（情報処理技術者試験、TOEICスコア）、社員食堂（本社・中央研究所のみ）、マイカー通勤制度（本社・中央研究所のみ）、リモートワーク制度有り（試用期間中は除く）
健康保険・厚生年金・雇用保険・労災保険","正社員
期間の定めなし
3ヶ月","神奈川県
神奈川県横浜市都筑区荏田東2-25-1（本社中央研究所）
会社の定める場所(リモートワークを行う場所を含む）
横浜市営地下鉄線　センター南駅　徒歩15分横浜市営地下鉄線　都筑ふれあいの丘駅　徒歩10分
当面無し"
IT事務／プライベート充実／未経験歓迎／月給30万円可,https://xn--pckua2a7gp15o89zb.com/jb/31b4272f293196c188d08ba70b54930f,未找到公司名称,東京都 港区,"月給25万3,400円～47万3,750円",【仕事内容】オフィスワークしながらITスキルも伸ばせる!/ 「ITスキルを身につけたい」その気持ちだけで大歓迎!...,正社員,14日以上前,"未経験OK, 英語活用, EXCEL, 研修あり, 土日祝休, VBA, 禁煙・分煙","英語, EXCEL",かんたん応募,"■勤務時間詳細
9:00～18:00

■休日詳細
＼年間休日120日以上／
土曜日・日曜日・祝日
GW休日
夏季休暇
年末年始休日
有給休暇
長期・連続休暇（5日以上の連続休暇も取得可能）
産前・産後休暇 ★男性、女性ともに取得実績あり！
育児休暇 ★男性、女性ともに取得実績あり！

＼自分の時間を大切にできます！／
プライベートを満喫する社員が多数
先輩たちの仕事終わりの過ごし方は…

☆英語や中国語、韓国語を勉強
☆アニメやゲーム、映画、韓流ドラマを堪能
☆野球やサッカーなどスポーツでリフレッシュ
☆アパレルブランドで買い物
◇犬や猫などペットと過ごす など",暂无信息,"月給25万3,400円～47万3,750円
■給与詳細
月給25万3400円以上～47万3750円以上＋各種手当
 ※未経験からでも30万円以上の給与提示実績あり

※上記給与額はみなし残業手当（月10時間分・1万8400円以上）を含みます。
※超過分の残業手当は別途支給いたします。
※経験・能力を考慮し決定いたします。

■福利厚生詳細
昇給／給与改定 年2回（6月・12月）
各種社会保険完備
交通費（月3万円まで）
時間外手当（超過分支給）
企業型確定拠出年金（401K）
定期フォローアップ面談
定期健康診断
インフルエンザ予防接種
各種社員交流イベント
副業OK
オフィス内禁煙・分煙
有料Eラーニングを無料利用可能
資格取得支援制度（ITパスポート、MOS資格など）
└300以上の取得推奨資格を定めており、受験費用を全額負担！",正社員,"東京都港区
"
はたらきがいのある会社ランキング「大企業部門」上位!／適性に応じた配属／「ITコンサルタント・PM」,https://xn--pckua2a7gp15o89zb.com/rd/?uaid=le159deeb36e5dd563965289656817dd1&p=t%2BAK7k0GmMUr0ZRss/MBm4fRChcSkhOnWORUWb0zAdZgcU%2BaU%2BZvfa%2BTCqvzpdMTlI7fbMUjlo/426nCnkHf4p/O81UF3iUb99fkxRIgTTz5n5JcUE/Wz5Xr0/xvzK3QIjMI24e5ckRXzZ5Q%2Btn4AqFBQPIzGtX2OvBe1qhXvz7RBbumC3ePvORGEvwGOCxZ6EPZFhNUVkI2Id/w7DaFByn250JlhHD10%2BRqCOJWqezScfFELqMOANKvqyRCHUK9jtFAhUcbL7ck/HFBAX3SyhKnSI/vjXSv34lTofrqpTJ6Ql8YRTcSmX/prEeaBmrxakvyLLPWv0izE2/OGTMVt/mi5L2Aob3urH2XOfbZKRG5AzhFXmJSnvJNEooch/tM2afV6jA6TNGlLCNwnqZfXXw5YcSLioexQ5BrqbITTxApEPH6unpIjOpIY9Lo8UD2qp7cnmIr/o2ucVD%2BbptwilOPEWOsgU9cTsYstGyGXOc%3D&ph=aeb8aa7667f8&phv=1,パーソルキャリア株式会社,東京都 港区 神谷町駅 徒歩6分,"月給45万9,100円",【仕事内容】自社の業務システムやWebサービスにおけるITコンサルタントやプロジェクトマネージャー(社内向けITコンサル)を募集しています。...,正社員,1日前,"フルリモート, 英語活用, 禁煙・分煙, 社保完備, 特別休暇, 交通費, 年俸制",英語,かんたん応募,"勤務形態：フレックスタイム制度■標準的な勤務時間例／10:00～19:00（休憩時間60分） コアタイムあり休憩／60分
想定：15時間※時間外労働の有無に関わらず、30時間分の裁量労働手当を支給（金額は給与備考をご参照ください）※固定時間外手当の30時間を超える時間外労働分についての割増賃金は追加で全額支給※時間管理方法が裁量労働制となる場合は、裁量労働手当を固定時間外手当と同様の30時間分を支給
年間休日124日年間有給休暇10～20日備考2025年度年間休日124日／週休2日制（土日）、国民の祝日、年末年始（12/30～1/3）年次有給休暇、夏季休暇（事業部門別のカレンダーに準ずる）、特別休暇",暂无信息,"月給
459,100円
給与形態年俸想定給与550万円～860万円 (基本給： 372,200 円 ～)固定残業あり固定残業時間30 時間※想定労働時間とは別に見込まれた残業時間です固定残業代86,900 円 ～給与備考※想定給与は固定時間外手当を含んだ金額です。月額基本給については以下をご確認ください。■予定年収：550万円～860万円 ■月給：459,100円～717,300円■月額基本給：372,200円～581,900円 ■月給固定額：459,100円～717,300円※時間外労働の有無に関わらず、30時間分の時間外手当として86,900円～135,400円を支給※固定時間外手当の30時間を超える時間外労働分についての割増賃金は追加で全額支給※時間管理方法が裁量労働制となる場合は、裁量労働手当を固定時間外手当と同様の30時間分を支給※評価等級によって、時間管理方法が異なります■半期年俸制■昇給・賞与：有（年2回 ※2024年度実績）■別途定めるリモートワーク手当を支給（通勤スタイルの適用職種は所属組織の決定に準ずる）・入社時に1回限り、リモートワーク一時金として15,000円を支給
・財形貯蓄制度・企業型確定拠出年金・長期所得補償保険・従業員持株制度・団体保険・団体扱い保険・福利厚生倶楽部（リロクラブとの提携）宿泊施設・レジャー施設・ショッピング・グルメ・エステ等各施設・サービスを特別優待価格にて利用可能・育児代行法人価格提供、家事育児代サービス補助・TOEIC®優待試験・インフルエンザ予防接種補助・独自健保：パーソルキャリア健康保険組合・通勤手当（会社の定める条件の範囲内で全額支給）
社会保険完備","正社員
期間の定めなし
有（3か月間）※待遇等変化なし","東京都
配属組織により、下記いずれかのオフィスとなります。■麻布台オフィス〒106-0041 東京都港区麻布台1-3-1 麻布台ヒルズ 森JPタワー 21F※受動喫煙防止対策：屋内喫煙可能場所あり■大手町オフィス〒100-0004 東京都千代田区大手町1-6-1 大手町ビルヂング5F※受動喫煙防止対策：屋内喫煙可能場所あり■浅草橋オフィス〒111-0052 東京都台東区柳橋1-4-4 ツイントラスビル3F※受動喫煙防止対策：屋内全面禁煙・在宅勤務／リモートワーク可（出社頻度は通勤スタイルにより異なります）■通勤スタイル：ワークスタイルA：:オフィス出社　　　　　　　　ワークスタイルB（リモート勤務／週2～週1日出社 ※月4日以上～10日以下出社）　（地方勤務）：ワークスタイルC（フルリモート勤務／原則出社なし ※出社の場合も月10日以内）※リモートワーク手当：月3000円支給※案件によって異なります
会社の定める就業場所​（リモートワークを行う場所を含む。出向規程に従って出向を命じることがあり、その場合は出向先の定める就業場所）​
■麻布台オフィス東京メトロ日比谷線「神谷町駅」（地下通路5番出口直結）より徒歩約6分東京メトロ南北線「六本木一丁目駅」より徒歩約7分■大手町オフィス地下鉄各線「大手町駅」地上出口E2・C7地下道より直結東京メトロ丸の内線・千代田線より徒歩0分東京メトロ半蔵門線より徒歩2分東京メトロ東西線より徒歩2分都営三田線より徒歩10分■浅草橋オフィスJR総武線「浅草橋駅」より徒歩1分都営浅草線「浅草橋駅」より徒歩2分"
IT事務／ワークライフバランス抜群／研修充実／残業ほぼなし,https://xn--pckua2a7gp15o89zb.com/jb/14421794bcfb8ac80f4fca0cc0a26a36,未找到公司名称,東京都 千代田区,"月給25万3,400円～47万3,750円",【仕事内容】オフィスワークしながらITスキルも伸ばせる!/ 「ITスキルを身につけたい」その気持ちだけで大歓迎!...,正社員,14日以上前,"未経験OK, 英語活用, RPA, VBA, 土日祝休, 研修あり, WワークOK",英語,かんたん応募,"■勤務時間詳細
9:00～18:00

■休日詳細
＼年間休日120日以上／
土曜日・日曜日・祝日
GW休日
夏季休暇
年末年始休日
有給休暇
長期・連続休暇（5日以上の連続休暇も取得可能）
産前・産後休暇 ★男性、女性ともに取得実績あり！
育児休暇 ★男性、女性ともに取得実績あり！

＼自分の時間を大切にできます！／
プライベートを満喫する社員が多数
先輩たちの仕事終わりの過ごし方は…

☆英語や中国語、韓国語を勉強
☆アニメやゲーム、映画、韓流ドラマを堪能
☆野球やサッカーなどスポーツでリフレッシュ
☆アパレルブランドで買い物
◇犬や猫などペットと過ごす など",暂无信息,"月給25万3,400円～47万3,750円
■給与詳細
月給25万3400円以上～47万3750円以上＋各種手当
 ※未経験からでも30万円以上の給与提示実績あり

※上記給与額はみなし残業手当（月10時間分・1万8400円以上）を含みます。
※超過分の残業手当は別途支給いたします。
※経験・能力を考慮し決定いたします。

■福利厚生詳細
昇給／給与改定 年2回（6月・12月）
各種社会保険完備
交通費（月3万円まで）
時間外手当（超過分支給）
企業型確定拠出年金（401K）
定期フォローアップ面談
定期健康診断
インフルエンザ予防接種
各種社員交流イベント
副業OK
オフィス内禁煙・分煙
有料Eラーニングを無料利用可能
資格取得支援制度（ITパスポート、MOS資格など）
└300以上の取得推奨資格を定めており、受験費用を全額負担！",正社員,"東京都千代田区
"
IT事務／昇給チャンス豊富／未経験OK／月給30万円も可能,https://xn--pckua2a7gp15o89zb.com/jb/000833e50da3fa0d2de853fbd7a12708,未找到公司名称,東京都 港区,"月給25万3,400円～47万3,750円",【仕事内容】オフィスワークしながらITスキルも伸ばせる!/ 「ITスキルを身につけたい」その気持ちだけで大歓迎!...,正社員,14日以上前,"未経験OK, 英語活用, RPA, 交通費, 土日祝休, EXCEL, 社保完備","英語, EXCEL",かんたん応募,"■勤務時間詳細
9:00～18:00

■休日詳細
＼年間休日120日以上／
土曜日・日曜日・祝日
GW休日
夏季休暇
年末年始休日
有給休暇
長期・連続休暇（5日以上の連続休暇も取得可能）
産前・産後休暇 ★男性、女性ともに取得実績あり！
育児休暇 ★男性、女性ともに取得実績あり！

＼自分の時間を大切にできます！／
プライベートを満喫する社員が多数
先輩たちの仕事終わりの過ごし方は…

☆英語や中国語、韓国語を勉強
☆アニメやゲーム、映画、韓流ドラマを堪能
☆野球やサッカーなどスポーツでリフレッシュ
☆アパレルブランドで買い物
◇犬や猫などペットと過ごす など",暂无信息,"月給25万3,400円～47万3,750円
■給与詳細
月給25万3400円以上～47万3750円以上＋各種手当
 ※未経験からでも30万円以上の給与提示実績あり

※上記給与額はみなし残業手当（月10時間分・1万8400円以上）を含みます。
※超過分の残業手当は別途支給いたします。
※経験・能力を考慮し決定いたします。

■福利厚生詳細
昇給／給与改定 年2回（6月・12月）
各種社会保険完備
交通費（月3万円まで）
時間外手当（超過分支給）
企業型確定拠出年金（401K）
定期フォローアップ面談
定期健康診断
インフルエンザ予防接種
各種社員交流イベント
副業OK
オフィス内禁煙・分煙
有料Eラーニングを無料利用可能
資格取得支援制度（ITパスポート、MOS資格など）
└300以上の取得推奨資格を定めており、受験費用を全額負担！",正社員,"東京都港区
"
